route_id,route_short_name,gtfs_from,gtfs_to,matched_key,kmb_origin_tc,kmb_destination_tc,orientation,sim_from,sim_to,avg,reason
1000116,89C,恒安,觀塘(翠屏道)(不經小瀝源及彩虹),KMB-89C-O-1,恆安,觀塘(翠屏道),forward,0.500,0.385,0.442,
1000342,64K,上村球場,元朗(西),KMB-64K-O-1,元朗(西),大埔墟站,swapped,0.000,1.000,0.500,
8415,271,佐敦(西九龍站),大埔(富亨)(不經大埔太和路),KMB-271-O-1,大埔(富亨),高鐵(西九龍站),swapped,0.667,0.364,0.515,
1000626,HK1,尖沙咀碼頭,尖沙咀及旺角(循環線)(特別班次),KMB-HK1-O-2,尖沙咀碼頭,[九巴遊香港] 尖沙咀及旺角,forward,1.000,0.077,0.538,
8195,88X,穗禾苑,平田(平田方向經觀塘道，火炭方向經觀塘繞道),KMB-88X-O-1,穗禾苑,平田,forward,1.000,0.105,0.553,
8196,88X,穗禾苑,平田(平田方向經觀塘繞道，火炭方向經觀塘道),KMB-88X-O-1,穗禾苑,平田,forward,1.000,0.105,0.553,
1000117,91,彩虹轉車站,碧海樓 - 清水灣,KMB-91-I-2,彩虹轉車站- 碧海樓,清水灣,forward,0.625,0.500,0.563,
1000357,269D,天富,"瀝源(經濕地公園路, 不經元朗)",KMB-269D-O-1,天富,瀝源,forward,1.000,0.167,0.583,
8201,2F,慈雲山(北),長沙灣(星期一至五早上繁忙時間服務),KMB-2F-O-1,慈雲山(北),長沙灣,forward,1.000,0.188,0.594,
8801,13X,寶達,"尖沙咀東(不經麗晶花園及啟業, 不停曲街)",KMB-13X-O-1,寶達,尖沙咀東,forward,1.000,0.235,0.618,
1000530,92,西貢,鑽石山站(星期六，日及公眾假期特別班次),KMB-92-O-1,西貢,鑽石山站,forward,1.000,0.235,0.618,
1349,84M,富安花園,樂富(繁忙時段班次),KMB-84M-O-1,富安花園,樂富,forward,1.000,0.250,0.625,
8231,28B,啟德(啟晴邨),彩福(經牛頭角總站),KMB-28B-O-1,彩福,啟德(啟晴邨),swapped,1.000,0.250,0.625,
1000575,272A,大學站,博研路(循環線)(經科技大道西),KMB-272A-O-1,大學站,白石角(循環線),forward,1.000,0.250,0.625,
8240,87D,錦英苑,紅磡站(不經馬鞍山市中心),KMB-87D-O-1,錦英苑,紅磡站,forward,1.000,0.273,0.636,
8680,290X,荃灣西站,康城站(經消防及救護學院),KMB-290X-O-1,康城站,荃灣西站,swapped,1.000,0.273,0.636,
1000636,A43P,機場(地面運輸中心),皇后山(經亞洲國際博覽館),KMB-A43P-O-3,皇后山,機場(地面運輸中心),swapped,1.000,0.273,0.636,
8721,24,啟業,旺角(循環線)(星期一至五上午繁忙時間服務),KMB-24-O-1,啟業,旺角(循環線),forward,1.000,0.278,0.639,
1000225,24,啟業,旺角(循環線)(星期一至五下午繁忙時間服務),KMB-24-O-1,啟業,旺角(循環線),forward,1.000,0.278,0.639,
