route_id,route_short_name,gtfs_from,gtfs_to,matched_key,ctb_origin_tc,ctb_destination_tc,orientation,sim_from,sim_to,avg,reason
8602,15,中環(交易廣場),山頂(不經文輝道),CTB-15-I,山頂,中環,swapped,0.333,0.286,0.310,
8337,5B,摩星嶺,香港大球場(不經遮打道),CTB-5B-I,銅鑼灣／香港大球場,摩星嶺／堅尼地城,swapped,0.429,0.200,0.314,
8753,S52,"東堤灣畔, 順東路",飛機維修區(不經國泰城及貨運區),CTB-S52-I,飛機維修區,東涌 (逸東邨),swapped,0.286,0.357,0.321,
1000654,586,西沙GO PARK,荃灣站,CTB-586-I,荃灣站 (經:長沙灣),西沙灣  (經:大圍),swapped,0.250,0.429,0.339,
1000496,95C,鴨脷洲邨,置富花園(循環線)(以鴨脷洲工業區為終點),CTB-95C-I,置富花園,鴨脷洲邨 / 利南工業區,swapped,0.444,0.235,0.340,
8326,S56,東涌站巴士總站,機場(客運大樓)(以裕雅商場為終點),CTB-S56-O,東涌站,機場 (一號客運大樓),forward,0.429,0.286,0.357,
1766,48,深灣,華富(循環線),CTB-48-I,華富 (北),深灣／海洋公園,swapped,0.333,0.400,0.367,
1571,4,黃竹坑,中環(途經中環碼頭),CTB-4-I,中環,黃竹坑／華富 (南),swapped,0.500,0.250,0.375,
1000656,589,西沙GO PARK,九龍灣,CTB-589-I,九龍灣 (經 觀塘),西沙灣,swapped,0.250,0.500,0.375,
1000499,581,西沙GO PARK,馬鞍山市中心,CTB-581-I,馬鞍山市中心 (經烏溪沙站),西沙灣,swapped,0.250,0.545,0.398,
1749,12,中環(中環渡輪碼頭3號),羅便臣道/柏道(循環線)(不經金鐘、柏道),CTB-12-I,羅便臣道／柏道,中環3號碼頭,swapped,0.400,0.400,0.400,
1000006,5B,銅鑼灣 (銅鑼灣道),摩星嶺,CTB-5B-I,銅鑼灣／香港大球場,摩星嶺／堅尼地城,forward,0.375,0.429,0.402,
1765,48,海洋公園,華富(海洋公園為終點站)(循環線),CTB-48-I,華富 (北),深灣／海洋公園,swapped,0.667,0.154,0.410,
1958,969C,鰂魚涌,天水圍(天瑞),CTB-969C-I,太古 (康怡廣場),天水圍 (天瑞邨),forward,0.000,0.833,0.417,
8388,48,海洋公園,華富(深灣為終點站)(循環線),CTB-48-I,華富 (北),深灣／海洋公園,swapped,0.667,0.182,0.424,
1000071,25,中環 (3 號碼頭),協同中學,CTB-25-I,寶馬山,中環 (3 / 5 號碼頭),swapped,0.857,0.000,0.429,
1000527,A12,機場,小西灣(藍灣半島)(經西環),CTB-A12-I,機場 (經港珠澳大橋香港口岸),小西灣 (藍灣半島),forward,0.167,0.700,0.433,
8324,S56,東涌站巴士總站,機場(客運大樓)(循環線),CTB-S56-O,東涌站,機場 (一號客運大樓),forward,0.429,0.444,0.437,
1887,967X,銅鑼灣(摩頓台),天水圍(天恩邨)(不經海富中心),CTB-967X-I,銅鑼灣 (經天水圍北),天水圍 (天恩邨),forward,0.375,0.500,0.438,
8220,H1,中環 (天星碼頭),尖沙咀(不經遮打道),CTB-H1-O,中環碼頭-天星小輪,尖沙咀 ．落日飛車,forward,0.500,0.375,0.438,
1000223,795X,清水灣半島,蘇屋,CTB-795X-I,蘇屋 (經:旺角及美孚),清水灣半島 (經:尚德),swapped,0.625,0.250,0.438,
1000354,694S,調景嶺站,小西灣邨(經日出康城),CTB-694S-I,調景嶺站 (經:日出康城),小西灣邨,forward,0.444,0.444,0.444,
1000437,H2K,中環(天星碼頭),西九文化區(循環線),CTB-H2K-I,西九文化區 ．落日飛車,中環碼頭-天星小輪 ．落日飛車,swapped,0.333,0.556,0.444,
1595,701,海麗邨,旺角(循環線),CTB-701-I,旺角,海麗邨／南昌站,swapped,0.500,0.400,0.450,
1861,701S,海麗邨,旺角(循環線),CTB-701S-I,旺角,海麗邨／南昌站,swapped,0.500,0.400,0.450,
1000259,15C,花園道(山頂纜車總站),中環 (香港摩天輪)(不經雪廠街),CTB-15C-I,花園道,中環 (香港摩天輪),forward,0.333,0.583,0.458,
1598,702S,蘇屋,長沙灣(深盛路)/富昌邨(循環線),CTB-702S-I,泓景臺／富昌邨,蘇屋邨,swapped,0.667,0.250,0.458,
1000688,795X,清水灣半島,蘇屋(經入境事務處總部),CTB-795X-I,蘇屋 (經:旺角及美孚),清水灣半島 (經:尚德),swapped,0.625,0.300,0.463,
