route_id,route_short_name,gtfs_from,gtfs_to,matched_key,kmbctb_origin_tc,kmbctb_destination_tc,orientation,sim_from,sim_to,avg,reason
1019,112,北角,蘇屋,KMBCTB-112-O-1,北角(百福道),長沙灣(蘇屋邨),forward,0.400,0.333,0.367,
8774,102,紅磡 (海底隧道),筲箕灣,KMBCTB-102-O-1,筲箕灣,美孚,swapped,0.000,1.000,0.500,
1563,606,彩雲,小西灣(藍灣半島)(經彩霞道),KMBCTB-606-O-1,彩雲(豐盛街),小西灣(藍灣半島),forward,0.400,0.636,0.518,
8704,985A,美田邨(美致樓),灣仔(軒尼詩道),KMBCTB-985A-O-1,美田(美致樓),灣仔,forward,0.833,0.333,0.583,
1490,106P,小西灣(藍灣半島),黃大仙(上午繁忙時間行走),KMBCTB-106P-O-1,黃大仙,小西灣(藍灣半島),swapped,1.000,0.273,0.636,
8468,107,九龍灣,華貴(經海洋公園),KMBCTB-107-O-1,九龍灣,華貴,forward,1.000,0.286,0.643,
8705,985B,田心村,灣仔(軒尼詩道),KMBCTB-985B-O-1,田心村,灣仔,forward,1.000,0.333,0.667,
1000124,106P,小西灣(藍灣半島),黃大仙(經太古及北角),KMBCTB-106P-O-1,黃大仙,小西灣(藍灣半島),swapped,1.000,0.333,0.667,
8228,101X,觀塘(裕民坊),堅尼地城(經九龍灣商貿區),KMBCTB-101X-O-1,觀塘(裕民坊),堅尼地城,forward,1.000,0.364,0.682,
8470,170,沙田站,華富(中)(經海洋公園),KMBCTB-170-O-1,沙田站,華富(中),forward,1.000,0.375,0.688,
8448,171,海怡半島,荔枝角(不經海怡路),KMBCTB-171-O-1,荔枝角,海怡半島,swapped,1.000,0.375,0.688,
8449,171,海怡半島,荔枝角(經海洋公園),KMBCTB-171-O-1,荔枝角,海怡半島,swapped,1.000,0.375,0.688,
1259,606,彩雲,小西灣(藍灣半島),KMBCTB-606-O-1,彩雲(豐盛街),小西灣(藍灣半島),forward,0.400,1.000,0.700,
1791,948X,長宏,銅鑼灣(天后),KMBCTB-948X-O-1,青衣(長宏邨),銅鑼灣(天后),forward,0.400,1.000,0.700,
8175,606X,九龍灣(企業廣場),小西灣(藍灣半島),KMBCTB-606X-O-1,九龍灣,小西灣(藍灣半島),forward,0.429,1.000,0.714,
1000621,110,筲箕灣,尖沙咀(循環線)(經高鐵西九龍站),KMBCTB-110-O-1,筲箕灣,尖沙咀(循環線),forward,1.000,0.462,0.731,
1023,116,慈雲山(中),鰂魚涌,KMBCTB-116-O-1,慈雲山(中),鰂魚涌(祐民街),forward,1.000,0.500,0.750,
1393,904,荔枝角,堅尼地城,KMBCTB-904-O-1,荔枝角,堅尼地城(卑路乍灣),forward,1.000,0.500,0.750,
1564,680,利安,金鐘站(東)(經頌安邨),KMBCTB-680-O-1,利安,金鐘站(東),forward,1.000,0.500,0.750,
8170,680B,富安花園巴士總站,金鐘站(東),KMBCTB-680B-O-1,富安花園,金鐘站(東),forward,0.500,1.000,0.750,
8172,678,上水,銅鑼灣,KMBCTB-678-O-1,上水,銅鑼灣(東院道),forward,1.000,0.500,0.750,
1000622,110,筲箕灣,尖沙咀東(麼地道)(經高鐵西九龍站),KMBCTB-110-O-2,筲箕灣,尖沙咀東(麼地道),forward,1.000,0.500,0.750,
1289,690,將軍澳 (康盛花園),中環 (交易廣場),KMBCTB-690-O-1,康盛花園,中環(交易廣場),forward,0.571,1.000,0.786,
1407,948P,長安邨,銅鑼灣(天后),KMBCTB-948P-O-1,青衣(長安邨),銅鑼灣(天后),forward,0.600,1.000,0.800,
1758,307A,大埔(大埔頭),上環,KMBCTB-307A-O-1,大埔頭,上環,forward,0.600,1.000,0.800,
8180,690,康盛花園,中環(交易廣場)(經禮頓道),KMBCTB-690-O-1,康盛花園,中環(交易廣場),forward,1.000,0.600,0.800,
8308,982X,水泉澳總站,灣仔(菲林明道),KMBCTB-982X-O-2,水泉澳,灣仔(菲林明道),forward,0.600,1.000,0.800,
8367,948A,長安邨,銅鑼灣(天后),KMBCTB-948A-O-1,青衣(長安邨),銅鑼灣(天后),forward,0.600,1.000,0.800,
8631,102P,紅磡(海底隧道收費廣場),筲箕灣,KMBCTB-102P-I-3,紅磡海底隧道,筲箕灣,forward,0.600,1.000,0.800,
8173,606X,啟業,小西灣(藍灣半島)(晨早班次),KMBCTB-606X-O-2,啟業,小西灣(藍灣半島),forward,1.000,0.636,0.818,
8603,606X,啟業,小西灣(藍灣半島)(傍晚班次),KMBCTB-606X-O-2,啟業,小西灣(藍灣半島),forward,1.000,0.636,0.818,
1290,690P,康盛花園,交易廣場,KMBCTB-690P-O-1,康盛花園,中環(交易廣場),forward,1.000,0.667,0.833,
1453,R8,迪士尼樂園,青嶼幹線轉車站(循環線)(不經迪欣湖),KMBCTB-R8-O-1,迪士尼樂園,青嶼幹線轉車站(循環線),forward,1.000,0.667,0.833,
1492,107P,紅磡(海逸豪園),數碼港,KMBCTB-107P-O-1,海逸豪園,數碼港,forward,0.667,1.000,0.833,
8066,118,海底隧道,小西灣(藍灣半島),KMBCTB-118-O-3,紅磡海底隧道,小西灣(藍灣半島),forward,0.667,1.000,0.833,
8663,101,中環(德輔道中),觀塘(裕民坊),KMBCTB-101-O-2,觀塘(裕民坊),德輔道中,swapped,0.667,1.000,0.833,
8769,R8,迪士尼樂園,青嶼幹線轉車站(循環線)(經迪欣湖),KMBCTB-R8-O-1,迪士尼樂園,青嶼幹線轉車站(循環線),forward,1.000,0.714,0.857,
1757,307,大埔中心,中環(中環渡輪碼頭),KMBCTB-307-O-1,大埔中心,中環(渡輪碼頭),forward,1.000,0.750,0.875,
